"GID","GENETYPE"
106897075,"protein-coding"
106888570,"protein-coding"
106901617,"protein-coding"
106885944,"protein-coding"
106901608,"protein-coding"
106894571,"protein-coding"
106902472,"protein-coding"
106893138,"protein-coding"
106889492,"protein-coding"
106895590,"protein-coding"
106898848,"protein-coding"
106893524,"protein-coding"
106887965,"protein-coding"
106895972,"protein-coding"
106898684,"protein-coding"
106886951,"protein-coding"
106895430,"protein-coding"
106901703,"protein-coding"
106893957,"protein-coding"
106886276,"protein-coding"
106885341,"protein-coding"
106893834,"protein-coding"
106897168,"protein-coding"
106893132,"protein-coding"
106888391,"protein-coding"
106893992,"protein-coding"
106898293,"protein-coding"
106885855,"protein-coding"
106891081,"protein-coding"
106889836,"protein-coding"
106897686,"protein-coding"
106889565,"protein-coding"
106890369,"protein-coding"
106900954,"protein-coding"
106901764,"protein-coding"
106893852,"protein-coding"
106887335,"protein-coding"
106887921,"protein-coding"
106888356,"protein-coding"
106895773,"protein-coding"
106888967,"protein-coding"
106893794,"protein-coding"
106894415,"protein-coding"
106902565,"protein-coding"
106901313,"protein-coding"
106895494,"protein-coding"
106886341,"protein-coding"
106886050,"protein-coding"
106886698,"protein-coding"
106902438,"protein-coding"
106886187,"protein-coding"
106890947,"protein-coding"
106886766,"protein-coding"
106893358,"protein-coding"
106892046,"protein-coding"
106887946,"protein-coding"
106886805,"protein-coding"
106900514,"protein-coding"
106894397,"protein-coding"
106884843,"protein-coding"
106902376,"protein-coding"
106884565,"protein-coding"
106896354,"protein-coding"
106902391,"protein-coding"
106899191,"protein-coding"
106899756,"protein-coding"
106899698,"protein-coding"
106897420,"protein-coding"
106895180,"protein-coding"
106889638,"protein-coding"
106901142,"protein-coding"
106892754,"protein-coding"
106892547,"protein-coding"
106894944,"protein-coding"
106892496,"protein-coding"
106892831,"protein-coding"
106901705,"protein-coding"
106901528,"protein-coding"
106897843,"protein-coding"
106896230,"protein-coding"
106902348,"protein-coding"
106887793,"protein-coding"
106897016,"protein-coding"
106897373,"protein-coding"
106895407,"protein-coding"
106901492,"protein-coding"
106895667,"protein-coding"
106893875,"protein-coding"
106897097,"protein-coding"
106885324,"protein-coding"
106895674,"protein-coding"
106902578,"protein-coding"
106900785,"protein-coding"
106891768,"protein-coding"
106900556,"protein-coding"
106902758,"protein-coding"
106890380,"protein-coding"
106894671,"protein-coding"
106890416,"protein-coding"
106900427,"protein-coding"
106892611,"protein-coding"
106886641,"protein-coding"
106887136,"protein-coding"
106893985,"protein-coding"
106885117,"protein-coding"
106902056,"protein-coding"
106902001,"protein-coding"
106887922,"protein-coding"
106893080,"protein-coding"
106902014,"protein-coding"
106892071,"protein-coding"
106895641,"protein-coding"
106888917,"protein-coding"
106888551,"protein-coding"
106886331,"protein-coding"
106900595,"protein-coding"
106902408,"protein-coding"
106887739,"protein-coding"
106902027,"protein-coding"
106896158,"protein-coding"
