"GID","ALTERNATIVE_SYMBOL"
"106900505","LOC106900505"
"106900507","LOC106900507"
"106902209","KHDRBS3"
"106894927","LOC106894927"
"106886517","CCDC18"
"106888623","LOC106888623"
"106891169","LOC106891169"
"106886621","LOC106886621"
"106886622","LOC106886622"
"106886623","LOC106886623"
"106886624","LOC106886624"
"106886625","LOC106886625"
"106886626","LOC106886626"
"106895258","ERCC3"
"106894657","PIAS2"
"106891238","LOC106891238"
"106891243","LOC106891243"
"106891244","LOC106891244"
"106891248","LOC106891248"
"106891253","LOC106891253"
"106891254","LOC106891254"
"106887967","DPF3"
"106888004","MAP3K9"
"106894321","TRNAU1AP"
"106894939","LOC106894939"
"106890617","KIAA0319L"
"106884533","REEP1"
"106888670","LOC106888670"
"106888679","LOC106888679"
"106888684","LOC106888684"
"106888687","LOC106888687"
"106899511","LOC106899511"
"106899513","LOC106899513"
"106884834","NTHL1"
"106901583","LOC106901583"
"106887961","MLH3"
"106899310","FAM118B"
"106897431","LOC106897431"
"54124886","trnV(tac)"
"54124875","trnW(tca)"
"106888732","LOC106888732"
"106902927","LOC106902927"
"106902928","LOC106902928"
"106902929","LOC106902929"
"106902930","LOC106902930"
"106902933","LOC106902933"
"106891266","LOC106891266"
"106891270","LOC106891270"
"106891278","LOC106891278"
"106891279","LOC106891279"
"106891280","LOC106891280"
"106888745","LOC106888745"
"106888746","LOC106888746"
"106888748","LOC106888748"
"106888749","LOC106888749"
"106892657","DCLK2"
"106891679","XKR6"
"106898282","USP4"
"106888810","ACBD6"
"106889151","GABRD"
"106897457","LOC106897457"
"106891406","CREBRF"
"106901613","LOC106901613"
"106901614","LOC106901614"
"106901621","LOC106901621"
"106901623","LOC106901623"
"106901625","LOC106901625"
"106901636","LOC106901636"
"106901637","LOC106901637"
"106901638","LOC106901638"
"106886673","LOC106886673"
"106889522","TMOD3"
"106886681","LOC106886681"
"106900530","LOC106900530"
"106895643","SEPTIN6"
"106894120","FREM1"
"106893830","HTR6"
"106900536","LOC106900536"
"106900537","LOC106900537"
"106900538","LOC106900538"
"106900539","LOC106900539"
"106894952","LOC106894952"
"106892833","LRP4"
"106900870","MBNL3"
"106902228","HTR7"
"106901669","MAP4K3"
"106899565","LOC106899565"
"106900562","LOC106900562"
"106896488","PCMTD2"
"106884578","TACC3"
"106885995","PRELID3A"
"106890948","AQP11"
"106899632","LOC106899632"
"106884807","AGTPBP1"
"106888856","LOC106888856"
"106888857","LOC106888857"
"106895008","LOC106895008"
"106895009","LOC106895009"
"106895010","LOC106895010"
"106899634","LOC106899634"
"106899638","LOC106899638"
"106894552","UBE2G1"
"106886883","LOC106886883"
"106890361","DPP8"
"106897154","LOC106897154"
"106897161","LOC106897161"
"106891903","LOC106891903"
"106893790","LOC106893790"
"106902311","TRPC6"
"106895746","LOC106895746"
"106895754","LOC106895754"
"106895758","LOC106895758"
"106895759","LOC106895759"
"106895760","LOC106895760"
"106895761","LOC106895761"
"106895762","LOC106895762"
"106886872","CRACR2A"
"106901762","MCM8"
"106886860","ITFG2"
"106897579","LOC106897579"
"106897584","LOC106897584"
"106891909","LOC106891909"
"106895820","LOC106895820"
"106886109","DDX18"
"106895083","LOC106895083"
"106895086","LOC106895086"
"106895087","LOC106895087"
"106900391","KCNK12"
"106900491","FBXO10"
"106884837","AOPEP"
"106902818","ZNF143"
"106886842","LOC106886842"
"106891980","LOC106891980"
"106891981","LOC106891981"
"106891982","LOC106891982"
"106895914","LOC106895914"
"106895922","LOC106895922"
"106895930","LOC106895930"
"106895934","LOC106895934"
"106895941","LOC106895941"
"106895943","LOC106895943"
"106895199","LOC106895199"
"106895200","LOC106895200"
"106895207","LOC106895207"
"106895218","LOC106895218"
"106888995","LOC106888995"
"106888996","LOC106888996"
"106889001","LOC106889001"
"106889003","LOC106889003"
"106889008","LOC106889008"
"106889016","LOC106889016"
"106902466","LOC106902466"
"106902474","LOC106902474"
"106902477","LOC106902477"
"106902482","LOC106902482"
"106889263","ANKRD10"
"106891414","LOC106891414"
"106891419","LOC106891419"
"106891424","LOC106891424"
"106891431","LOC106891431"
"106888380","DHODH"
"106895193","PIKFYVE"
"106892024","LOC106892024"
"106885713","ZBTB21"
"106893308","ERMARD"
"106900906","HSPA14"
