"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0031016","pancreas development","1/4","87/10432",0.0329485836920862,0.038306287403211,"CCDC40",1,"Up-regulated"
"BP","GO:0003341","cilium movement","1/4","90/10432",0.0340700193232563,0.0384619592665288,"CCDC40",1,"Up-regulated"
"BP","GO:0030216","keratinocyte differentiation","1/4","90/10432",0.0340700193232563,0.0384619592665288,"LOC106888173",1,"Up-regulated"
"BP","GO:0035050","embryonic heart tube development","1/4","94/10432",0.0355637492784859,0.0395746984452325,"CCDC40",1,"Up-regulated"
"BP","GO:0034332","adherens junction organization","1/4","101/10432",0.038173607195341,0.0418806068562674,"LOC106888173",1,"Up-regulated"
"BP","GO:0043473","pigmentation","1/4","109/10432",0.0411498119887447,0.0445188024439635,"LOC106888173",1,"Up-regulated"
"BP","GO:0048565","digestive tract development","1/4","127/10432",0.0478210157718276,0.0510274717680641,"CCDC40",1,"Up-regulated"
"BP","GO:0007368","determination of left/right symmetry","1/4","141/10432",0.0529856146245364,0.0543838559644035,"CCDC40",1,"Up-regulated"
"BP","GO:0055123","digestive system development","1/4","144/10432",0.0540895753347997,0.0543838559644035,"CCDC40",1,"Up-regulated"
"BP","GO:0060972","left/right pattern formation","1/4","144/10432",0.0540895753347997,0.0543838559644035,"CCDC40",1,"Up-regulated"
"BP","GO:0099111","microtubule-based transport","1/4","144/10432",0.0540895753347997,0.0543838559644035,"CCDC40",1,"Up-regulated"
"BP","GO:0050679","positive regulation of epithelial cell proliferation","1/4","145/10432",0.0544573476616527,0.0543838559644035,"LOC106888173",1,"Up-regulated"
"BP","GO:0009913","epidermal cell differentiation","1/4","149/10432",0.055927364642376,0.0551449031783588,"LOC106888173",1,"Up-regulated"
"BP","GO:0001818","negative regulation of cytokine production","1/4","157/10432",0.0588622557720428,0.0562634020764838,"LOC106888173",1,"Up-regulated"
"BP","GO:0009855","determination of bilateral symmetry","1/4","157/10432",0.0588622557720428,0.0562634020764838,"CCDC40",1,"Up-regulated"
"BP","GO:0009799","specification of symmetry","1/4","158/10432",0.0592286354291633,0.0562634020764838,"CCDC40",1,"Up-regulated"
"BP","GO:0030324","lung development","1/4","164/10432",0.0614246674667255,0.0576382319128077,"CCDC40",1,"Up-regulated"
"BP","GO:0030323","respiratory tube development","1/4","166/10432",0.0621558230627305,0.0576382319128077,"CCDC40",1,"Up-regulated"
