"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"NIP7",1700,1584,3284,0.517661388550548,0.0447583908092733,0.0694211775817301
"PIEZO1",68,40,108,0.62962962962963,0.00905798333753257,0.0156456075830108
"PKD1L2",4,17,21,0.19047619047619,0.00719738006591798,0.0136750221252442
"PLCG2",438,122,560,0.782142857142857,9.10924157591717e-43,8.65377949712131e-42
"PPP1R3E",5,17,22,0.227272727272727,0.0169005393981934,0.0285431332058377
"RPL13",2158,1864,4022,0.536548980606663,3.80057457336525e-06,1.0697913613917e-05
"SDR42E1",397,93,490,0.810204081632653,9.56503174431331e-46,1.03848916081116e-44
"SLC22A31",157,137,294,0.534013605442177,0.267787184461439,0.339197100317823
"SLC7A5",331,334,665,0.497744360902256,0.93818840944001,0.963544852938388
"SNTB2",88,54,142,0.619718309859155,0.00543009045348238,0.0108601809069648
"SPATA2L",3655,2302,5957,0.61356387443344,2.76280614269837e-69,5.24933167112689e-68
"SPG7",3901,3995,7896,0.494047619047619,0.295285119680292,0.367896214683642
"SPIRE2",2980,2764,5744,0.518802228412256,0.00455243965972271,0.0093509571388899
"TANGO6",600,1067,1667,0.359928014397121,1.49155167832762e-30,9.44649396274157e-30
"TCF25",509,562,1071,0.475256769374416,0.11203045856057,0.159736187123339
"TERF2",1219,891,2110,0.577725118483412,9.82867363485947e-13,4.9798613083288e-12
"TLDC1",52,47,99,0.525252525252525,0.687885343579691,0.751028098744759
"TMED6",4,2,6,0.666666666666667,0.6875,0.751028098744759
"TUBB3",614,0,614,1,2.9417967103307e-185,1.11788274992567e-183
"USP10",64,152,216,0.296296296296296,1.94522162387067e-09,7.39184217070853e-09
"UTP4",596,504,1100,0.541818181818182,0.00604899857692721,0.0117877920986274
"VPS4A",4996,5362,10358,0.482332496620969,0.000334875222817253,0.000748544615709155
"VPS9D1",1591,913,2504,0.63538338658147,3.33458719792074e-42,2.81587363379973e-41
"WFDC1",0,8,8,0,0.0078125,0.0141369047619048
"ZC3H18",45,43,88,0.511363636363636,0.915186504842878,0.956218899335589
"ZCCHC14",27,51,78,0.346153846153846,0.00877171445706016,0.0155034953194552
"ZNF276",820,659,1479,0.554428668018932,3.12381705166551e-05,7.93140537194245e-05
