"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"DPEP1",61,7,68,0.897058823529412,7.38740275549322e-12,3.16602975235424e-11
"EMC8",906,679,1585,0.571608832807571,1.30003431238148e-08,4.50011877362819e-08
"FANCA",29,5,34,0.852941176470588,3.85581515729428e-05,9.13219379359171e-05
"FBXO31",58,51,109,0.532110091743119,0.565700113973634,0.661207925423728
"FOXC2",7,13,20,0.35,0.263175964355469,0.353519952119286
"FOXL1",1,0,1,1,1,1
"GALNS",471,581,1052,0.447718631178707,0.00076998530877064,0.00153997061754128
"GAN",332,167,499,0.665330661322645,1.27082478370988e-13,6.0196963438889e-13
"GAS8",403,317,720,0.559722222222222,0.00151867025991927,0.00290809198707946
"GINS2",102,258,360,0.283333333333333,1.0176030994602e-16,5.72401743446363e-16
"GSE1",382,322,704,0.542613636363636,0.026102273337417,0.0398170271248734
"HAS3",42,41,83,0.506024096385542,1,1
"HSBP1",7978,9603,17581,0.453785336442751,1.5476476419683e-34,1.5476476419683e-33
"HSD17B2",15,0,15,1,6.10351562500001e-05,0.000140850360576923
"IRF8",196,228,424,0.462264150943396,0.132101125848875,0.182909251175366
"JPH3",831,643,1474,0.563772048846676,1.07705562773739e-06,3.12693569343114e-06
"KCNG4",1,1,2,0.5,1,1
"KIAA0513",487,507,994,0.489939637826962,0.546767396433821,0.647487706303209
"KLHDC4",323,432,755,0.427814569536424,8.25624317238688e-05,0.000181234606223127
"KLHL36",1813,1774,3587,0.505436297741846,0.525773391621162,0.630991429180253
"LOC106888094",144,54,198,0.727272727272727,1.21657517854684e-10,4.56215691955066e-10
"LOC106888097",378,257,635,0.595275590551181,1.79012274423904e-06,4.73856020533863e-06
"LOC106888173",1613,280,1893,0.852086634970946,2.97509901422545e-227,2.67758911280291e-225
"LOC106888185",72,78,150,0.48,0.683231760104097,0.778365296321123
"LOC106888312",15,1,16,0.9375,0.000518798828125,0.00106117942116477
"LOC106888384",11,41,52,0.211538461538462,3.5887916129518e-05,8.72949311258545e-05
"MLYCD",495,581,1076,0.46003717472119,0.00953033273777735,0.0158838878962956
"MPHOSPH6",907,873,1780,0.509550561797753,0.434120096840982,0.542650121051227
"MTHFSD",215,167,382,0.56282722513089,0.0160731228814397,0.0263014738059923
"MVD",481,559,1040,0.4625,0.0169141011912933,0.0271833769145786
"NIP7",2263,2082,4345,0.520828538550058,0.00631307558115423,0.0107203170246015
"PIEZO1",332,263,595,0.557983193277311,0.00526455311276919,0.00911172654133129
"PKD1L2",0,9,9,0,0.00390625,0.00703125000000001
"PLCG2",23,69,92,0.25,1.6704367950249e-06,4.55573671370428e-06
"PPP1R3E",3,3,6,0.5,1,1
"RNF166",388,247,635,0.611023622047244,2.43442620414421e-08,8.11475401381403e-08
"RPL13",2071,2035,4106,0.504383828543595,0.584927871178188,0.67491677443637
"SDR42E1",142,35,177,0.80225988700565,1.73242032597354e-16,9.17163701985989e-16
"SLC22A31",382,247,629,0.60731319554849,8.19614942092937e-08,2.63447659958444e-07
"SLC7A5",5918,4505,10423,0.567782788064857,1.2424511341184e-43,1.86367670117761e-42
"SNTB2",48,60,108,0.444444444444444,0.289798215405062,0.383556461565523
"SPATA2L",3592,2732,6324,0.567994939911448,2.81641111594284e-27,2.30433636758959e-26
"SPG7",3177,3262,6439,0.493399596210592,0.29518416148388,0.3850228193268
"SPIRE2",2199,2217,4416,0.497961956521739,0.798093362977173,0.875956130096897
"TANGO6",832,796,1628,0.511056511056511,0.385705483456387,0.488922443817955
"TCF25",266,339,605,0.439669421487603,0.0033865314729838,0.00622015984833759
"TERF2",1351,885,2236,0.604203935599284,5.65388313154745e-23,3.914226783379e-22
"TLDC1",291,681,972,0.299382716049383,1.07639611600603e-36,1.21094563050678e-35
"TMED6",1,1,2,0.5,1,1
"TRAPPC2L",379,670,1049,0.361296472831268,2.02727848830742e-19,1.30325045676906e-18
"USP10",118,90,208,0.567307692307692,0.0609304671946365,0.0898974106150375
"UTP4",676,439,1115,0.60627802690583,1.30358809939647e-12,5.86614644728413e-12
"VPS4A",4189,4300,8489,0.493462127459065,0.232518938277044,0.317071279468696
"VPS9D1",762,686,1448,0.526243093922652,0.0486914357935752,0.0730371536903627
"WFDC1",57,54,111,0.513513513513513,0.849550187314454,0.915466036666875
"ZC3H18",407,207,614,0.662866449511401,5.3635747886041e-16,2.68178739430205e-15
"ZCCHC14",580,725,1305,0.444444444444444,6.60761151128191e-05,0.000148671259003843
"ZDHHC7",125,109,234,0.534188034188034,0.326807166722407,0.420180642928809
"ZFPM1",368,350,718,0.512534818941504,0.525826190983544,0.630991429180253
"ZNF276",368,379,747,0.492637215528782,0.714480414468285,0.793867127186983
"ZNF469",7,7,14,0.5,1,1
