"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"HAS3",0,4,4,0,0.125,0.169642857142857
"HSBP1",4119,3922,8041,0.512249720184057,0.0288274325310812,0.0458521842956543
"HSD17B2",11,0,11,1,0.0009765625,0.00215752180232558
"IRF8",644,671,1315,0.489733840304182,0.473396597603473,0.569274389523164
"JPH3",163,103,266,0.612781954887218,0.000281813217986408,0.00066930639271772
"KCNG4",6,19,25,0.24,0.014633297920227,0.0253606689828382
"KIAA0513",1142,958,2100,0.543809523809524,6.44863461583709e-05,0.000165573050947169
"KLHDC4",272,417,689,0.39477503628447,3.67954630953711e-08,1.12760290130976e-07
"KLHL36",1029,1048,2077,0.495426095329803,0.692881520441318,0.783616005261014
"LOC106888094",802,187,989,0.810920121334681,2.98156286937657e-91,5.66496945181549e-90
"LOC106888097",1565,746,2311,0.677196019039377,2.59223482159819e-66,4.10437180086381e-65
"LOC106888173",1863,178,2041,0.912787849093582,0,0
"LOC106888185",1066,609,1675,0.636417910447761,3.56043558075469e-29,2.41600985836925e-28
"LOC106888312",111,14,125,0.888,6.57223486776562e-20,3.12181156218867e-19
"LOC106888384",227,352,579,0.392055267702936,2.30932531026605e-07,6.85580951485234e-07
"MC1R",1,0,1,1,1,1
"MLYCD",601,603,1204,0.499169435215947,0.97701012337652,1
"MPHOSPH6",821,777,1598,0.513767209011264,0.282069825209488,0.362116667498667
"MTHFSD",307,172,479,0.640918580375783,7.15492098434033e-10,2.51747219819382e-09
"MVD",3320,3796,7116,0.466554243957279,1.7720431059537e-08,6.01228910948575e-08
"NIP7",1405,1501,2906,0.483482450103235,0.0780034210107483,0.112277651454865
"PABPN1L",0,1,1,0,1,1
"PIEZO1",560,596,1156,0.484429065743945,0.303284180863537,0.379105226079421
"PKD1L2",1,11,12,0.0833333333333333,0.00634765625,0.012060546875
"PLCG2",163,377,540,0.301851851851852,1.53360946240441e-20,7.66804731202207e-20
"PPP1R3E",12,13,25,0.48,1,1
"RNF166",1097,1088,2185,0.502059496567506,0.864114722587721,0.922369647705994
"RPL13",2855,2517,5372,0.531459419210722,4.23783202315724e-06,1.18410012411747e-05
"SDR42E1",230,83,313,0.73482428115016,4.00068758761902e-17,1.72756964010821e-16
"SLC22A31",301,585,886,0.339729119638826,8.75679450793875e-22,4.62164154585656e-21
"SLC7A5",2533,1552,4085,0.620073439412485,1.44870687939978e-53,1.52919059492199e-52
"SNTB2",208,264,472,0.440677966101695,0.011276583521562,0.0202127440480828
"SPATA2L",1185,990,2175,0.544827586206897,3.14916439221091e-05,8.31029492388991e-05
"SPG7",3209,3152,6361,0.504480427605722,0.482593141090521,0.573079355044994
"SPIRE2",307,272,579,0.530224525043178,0.157598607859014,0.210871376712765
"TANGO6",550,652,1202,0.45757071547421,0.00356021406647831,0.00690245584317223
"TCF25",218,260,478,0.456066945606695,0.0606387139233721,0.0900105909800054
"TERF2",1034,684,1718,0.60186263096624,2.93771562233616e-17,1.32896659105683e-16
"TLDC1",1785,1602,3387,0.527015057573074,0.00176039233298592,0.00363559286160135
"TMED6",0,1,1,0,1,1
"TRAPPC2L",208,295,503,0.41351888667992,0.000121366535120951,0.000295636431704881
"USP10",241,227,468,0.514957264957265,0.547935558062719,0.642640469332819
"UTP4",838,652,1490,0.56241610738255,1.59775518963991e-06,4.59959827320582e-06
"VPS4A",4775,4139,8914,0.535674220327575,1.71438484876458e-11,7.08115481011458e-11
"VPS9D1",393,521,914,0.429978118161926,2.58546039342521e-05,7.01767821072557e-05
"WFDC1",2146,1207,3353,0.64002385923054,8.76635910355264e-60,1.18972016405357e-58
"ZC3H18",367,303,670,0.547761194029851,0.0148754446738265,0.0253606689828382
"ZCCHC14",381,442,823,0.462940461725395,0.0364220383943693,0.0558079620558884
"ZDHHC7",320,327,647,0.494590417310665,0.813544736782823,0.878258522663275
"ZFPM1",799,759,1558,0.512836970474968,0.323126616440126,0.39866270859496
"ZNF276",278,345,623,0.446227929373997,0.00813627534342615,0.0148643491851055
"ZNF469",78,164,242,0.322314049586777,3.37299811000091e-08,1.06811606816696e-07
