"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"LOC106888094",179,138,317,0.564668769716088,0.0245108171237878,0.0480003502007512
"LOC106888097",498,285,783,0.636015325670498,2.47872677602115e-14,1.45625198091243e-13
"LOC106888173",3602,550,4152,0.867533718689788,4.94065645841247e-324,4.64421707090772e-322
"LOC106888185",153,79,232,0.65948275862069,1.35214763273585e-06,4.10006056377966e-06
"LOC106888312",8,4,12,0.666666666666667,0.3876953125,0.473290381493506
"LOC106888384",81,156,237,0.341772151898734,1.2625265428009e-06,3.95591650077616e-06
"MC1R",1,4,5,0.2,0.375,0.463815789473684
"MLYCD",568,533,1101,0.515894641235241,0.305515759916616,0.388087586921107
"MPHOSPH6",642,577,1219,0.526661197703035,0.0667487514431247,0.110076888344802
"MTHFSD",162,125,287,0.564459930313589,0.033404092697675,0.0603843214150279
"MVD",415,438,853,0.48651817116061,0.451309495064826,0.530288656701171
"NIP7",1186,1258,2444,0.485270049099836,0.150937388167697,0.218278684427132
"PABPN1L",1,1,2,0.5,1,1
"PIEZO1",693,492,1185,0.584810126582278,5.76445407725674e-09,2.46299401482788e-08
"PKD1L2",0,7,7,0,0.015625,0.0326388888888889
"PLCG2",65,83,148,0.439189189189189,0.16207156803057,0.230829202952631
"PPP1R3E",5,4,9,0.555555555555556,1,1
"RNF166",362,408,770,0.47012987012987,0.104809003748005,0.161508956595287
"RPL13",1862,1629,3491,0.533371526783157,8.56833465037322e-05,0.000244067714283358
"SDR42E1",154,55,209,0.736842105263158,4.80604436094941e-12,2.35612423562848e-11
"SLC22A31",112,103,215,0.52093023255814,0.585447145772406,0.679407798797607
"SLC7A5",6131,4483,10614,0.577633314490296,9.45222702671474e-58,2.96169780170395e-56
"SNTB2",38,23,61,0.622950819672131,0.0721774385009227,0.116977227915289
"SPATA2L",2294,1545,3839,0.597551445688982,9.25550217624471e-34,1.24288172081e-32
"SPG7",2278,2131,4409,0.516670446813336,0.0278818600297429,0.0534876498529761
"SPIRE2",1342,1641,2983,0.449882668454576,4.74546679949495e-08,1.7842955166101e-07
"TANGO6",653,611,1264,0.516613924050633,0.248811842566144,0.334118760017393
"TCF25",197,262,459,0.429193899782135,0.00277527373167777,0.00705069542642462
"TERF2",923,655,1578,0.584917617237009,1.61452041373645e-11,7.2269008995822e-11
"TLDC1",465,701,1166,0.398799313893654,5.01303028857123e-12,2.35612423562848e-11
"TRAPPC2L",477,525,1002,0.476047904191617,0.137560995708075,0.202042712446236
"USP10",150,120,270,0.555555555555556,0.0773893989802185,0.122591050726306
"UTP4",333,330,663,0.502262443438914,0.938095459679769,0.979788591221093
"VPS4A",3492,3533,7025,0.497081850533808,0.63319435207691,0.708574632086066
"VPS9D1",799,499,1298,0.615562403697997,7.68264928603725e-17,5.55514640682693e-16
"WFDC1",224,87,311,0.720257234726688,4.43676535422896e-15,2.78037295531682e-14
"ZC3H18",336,259,595,0.564705882352941,0.00181147063985903,0.00472995111518747
"ZCCHC14",333,356,689,0.483309143686502,0.401972925245671,0.48442890991145
"ZDHHC7",197,220,417,0.47242206235012,0.281311160780428,0.36726734879667
"ZFPM1",508,382,890,0.570786516853933,2.71009725681541e-05,7.96091069189527e-05
"ZNF276",409,379,788,0.519035532994924,0.301562064702925,0.388087586921107
"ZNF469",12,19,31,0.387096774193548,0.281041515059769,0.36726734879667
