"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"DBNDD1",22,22,44,0.5,1,1
"DPEP1",177,10,187,0.946524064171123,1.21814726364411e-40,2.29011685565094e-39
"DUSP15",2,11,13,0.153846153846154,0.0224609375,0.0422265625
"EMC8",421,359,780,0.53974358974359,0.0288865079337023,0.0522179181878465
"FANCA",47,68,115,0.408695652173913,0.0617086082392241,0.0966768195747845
"FBXO31",240,299,539,0.445269016697588,0.0124098958828083,0.0243027127704996
"FOXC2",44,36,80,0.55,0.434042255345479,0.551350973006419
"FOXF1",6,7,13,0.461538461538462,1,1
"FOXL1",2,2,4,0.5,1,1
"GALNS",833,683,1516,0.549472295514512,0.000128305728166733,0.00032596590399116
"GAN",45,30,75,0.6,0.105342268874605,0.159712472164724
"GAS8",328,273,601,0.545757071547421,0.0275324044489381,0.0507460003568663
"GINS2",140,260,400,0.35,2.04650705646431e-09,6.63350563129811e-09
"GSE1",691,614,1305,0.529501915708812,0.0353540678771321,0.0627034411405739
"HAS3",4,4,8,0.5,1,1
"HSBP1",4422,6112,10534,0.419783558002658,4.20355150074466e-61,1.31711280356666e-59
"HSD17B2",11,0,11,1,0.0009765625,0.00218563988095238
"IRF8",97,204,301,0.322259136212625,6.65297014833688e-10,2.23349712122738e-09
"JPH3",136,141,277,0.490974729241877,0.810122341431157,0.951893751181609
"KCNG4",11,3,14,0.785714285714286,0.057373046875,0.0922322834219136
"KIAA0513",1122,1027,2149,0.522103303862262,0.0425630482682612,0.0727441188584828
"KLHDC4",381,583,964,0.395228215767635,8.19181702023931e-11,3.2084616662604e-10
"KLHL36",1339,1025,2364,0.566412859560068,1.14247035400387e-10,4.29568853105454e-10
"LOC106888094",103,34,137,0.751824817518248,2.89935492953639e-09,9.08464544588068e-09
"LOC106888097",697,408,1105,0.630769230769231,2.94697742809005e-18,1.7313492390029e-17
"LOC106888173",1924,2367,4291,0.448380330925192,1.44460567607271e-11,6.17240607049251e-11
"LOC106888185",538,313,851,0.63219741480611,1.13328252174947e-14,5.60676616023421e-14
"LOC106888312",3,2,5,0.6,1,1
"LOC106888384",604,381,985,0.613197969543147,1.21721172180284e-12,5.44847151664126e-12
"MLYCD",696,634,1330,0.523308270676692,0.0943599044673074,0.145407065900441
"MPHOSPH6",978,811,1789,0.546674119619899,8.5901505222987e-05,0.000224298374748911
"MTHFSD",153,156,309,0.495145631067961,0.9094394662841,1
"MVD",337,340,677,0.497784342688331,0.93873744968743,1
"NIP7",1016,1007,2023,0.502224419179436,0.858834076501401,0.984517112086972
"PABPN1L",1,0,1,1,1,1
"PIEZO1",420,460,880,0.477272727272727,0.188583746988294,0.265510900696712
"PKD1L2",14,7,21,0.666666666666667,0.189247131347656,0.265510900696712
"PLCG2",427,781,1208,0.353476821192053,1.45062459177166e-24,1.23962465115033e-23
"PPP1R3E",26,18,44,0.590909090909091,0.291215236545896,0.38019766993492
"RNF166",1016,900,1916,0.53027139874739,0.00859093857788362,0.0171818771557672
"RPL13",3161,2568,5729,0.55175423285041,4.94775588383863e-15,2.58382807267128e-14
"SDR42E1",435,181,616,0.706168831168831,4.40852796476131e-25,4.14401628687563e-24
"SLC22A31",129,171,300,0.43,0.0177793409142622,0.0341073070600132
"SLC7A5",4164,5870,10034,0.414989037273271,2.83030038757164e-65,1.33024118215867e-63
"SNTB2",330,430,760,0.434210526315789,0.000323370759671717,0.000759921285228534
"SPATA2L",1570,1039,2609,0.601763127635109,2.1835302582902e-25,2.28057604754754e-24
"SPG7",1705,1478,3183,0.535658184103047,6.13937540496979e-05,0.000164886082304903
"SPIRE2",790,800,1590,0.49685534591195,0.821438491124744,0.953274298342295
"TANGO6",489,495,984,0.496951219512195,0.873368705177231,0.985974269563483
"TCF25",232,259,491,0.472505091649695,0.240620136080758,0.323118468451303
"TERF2",1261,854,2115,0.596217494089834,8.34616553623474e-19,5.23026373604044e-18
"TLDC1",1006,1068,2074,0.485053037608486,0.180411373763956,0.260902602058644
"TMED6",3,2,5,0.6,1,1
"TRAPPC2L",233,391,624,0.373397435897436,2.64783248518403e-10,9.57293283104995e-10
"USP10",199,203,402,0.495024875621891,0.881083389822687,0.985974269563483
"UTP4",846,624,1470,0.575510204081633,7.70697986564267e-09,2.33695518506584e-08
"VPS4A",3525,3186,6711,0.525257040679481,3.67904676598587e-05,0.000101714822353727
"VPS9D1",383,575,958,0.399791231732777,5.97360840024455e-10,2.07970070230736e-09
"WFDC1",53,169,222,0.238738738738739,2.6343945043815e-15,1.45666519654036e-14
"ZC3H18",366,350,716,0.511173184357542,0.575116997530699,0.702090880102412
"ZCCHC14",426,544,970,0.439175257731959,0.000169304618274762,0.000418806160995464
"ZDHHC7",266,220,486,0.547325102880658,0.0411165709283585,0.07157329013455
"ZFPM1",818,789,1607,0.509023024268824,0.484892582059897,0.607732036181738
"ZNF276",398,543,941,0.422954303931987,2.56258708078618e-06,7.52759954980941e-06
"ZNF469",36,33,69,0.521739130434783,0.809949052918925,0.951893751181609
