"Gene_ID","s1319_F_BLO_01","s1323_I_BLO_01","s1324_S_BLO_01","s1330_I_BLO_01","s1639_F_BLO_01","s1647_F_BLO_01","s1670_S_BLO_01","s1680_S_BLO_01","s319_I_BLO_01"
"PLXNC1",256.107727177067,381.626625907989,260.639410842124,609.394127286899,176.018673123453,335.928462981029,303.035558224831,433.012621855378,1124.96210148985
"CRADD",460.838220330772,435.037124342064,503.825289708212,388.24973730284,516.407724825425,350.705374842364,573.038804415676,343.633263035531,319.086752396799
"LOC106901252",3.89221469873963,4.30729826081252,2.32713759680468,3.32547954863246,5.17701979774862,9.85127457422372,7.18093739869268,4.3388038262062,7.2519716453818
"SOCS2",56.0478916618506,189.521123475751,94.2490726705893,51.5449330038032,72.4782771684807,64.0332847324542,323.142182941171,146.651569325769,142.319943540618
"LOC106900978",3.89221469873963,31.8740071300126,11.6356879840234,9.14506875873927,6.47127474718578,8.86614711680135,57.4474991895415,37.3137129053733,18.1299291134545
"LOC106901251",27.2455028911774,292.034822083089,107.048329453015,54.0390426652775,59.5357276741091,55.1671376156528,498.357055469272,130.164114786186,199.429220247999
"MRPL42",292.69454534522,281.697306257139,439.829005796084,231.952198517114,362.391385842403,270.910050791152,298.726995785616,190.039607587831,255.632000499708
"UBE2N",3836.16680707778,4244.41170620466,4376.18225079119,3215.73872352759,4278.80686283923,3118.91353019923,3392.27482714242,2817.6192047383,2822.82996296486
"NUDT4",1993.59236869444,2131.25117945003,1959.44985650954,3510.04366358156,1725.24184759973,1964.34415010021,2328.05990465617,1670.43947308939,1878.26065615389
"LOC106901232",8.56287233722718,6.89167721730003,5.81784399201169,2.49410966147435,2.58850989887431,2.95538237226712,2.87237495947707,0,7.2519716453818
"LOC106901231",7.00598645773133,2.58437895648751,1.16356879840234,3.32547954863246,1.29425494943716,6.8958922019566,0,0.867760765241239,3.6259858226909
"EEA1",347.963994067323,472.079889385052,395.613391456795,231.120828629956,253.673970089682,321.151551119693,380.589682130712,246.444057328512,451.435234925017
"PLEKHG7",0,0,0,0.831369887158116,0,0,0,0,0
"BTG1",5851.55557808516,5946.65597887776,5894.63953270624,8147.42489414953,8003.67260731937,6240.78244277073,7269.98102243647,7332.57846628847,5508.77896112315
"LOC106901279",28.8023887706732,33.5969264343376,16.2899631776327,59.0272619882262,24.5908440393059,19.7025491484474,25.8513746352937,22.5617798962722,29.0078865815272
